,LOF (outlier score),LogReg (entropy),LogReg (max prob),AE (reconstr err),NN (entropy),NN (max prob),PPCA (log prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),MCDropout (entropy),MCDropout (std),MCDropout (mutual information),Number of models
602,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,6
948,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,6
4958,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,6
9428,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,6
17671,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,6
5158,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,6
3504,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,6
15108,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,6
1673,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,6
2535,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,6
15451,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,6
12638,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,6
14967,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,6
12253,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,6
15856,True,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,6
16138,False,False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,6
5911,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,6
9658,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,6
232,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,6
15806,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,6
6683,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,6
12021,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
1014,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,5
2524,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,5
10070,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,5
14558,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
4529,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5
4594,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,5
8848,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
12207,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,5
6644,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,5
10701,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
3915,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,5
5818,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,5
2222,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
4557,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,5
17873,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,5
3112,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,5
13811,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,5
3236,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,5
15404,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,5
3904,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,5
8556,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
9821,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
4994,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,5
17097,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,5
2607,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,5
12966,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,5
5991,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,5
717,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
15428,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,5
6773,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
7692,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
2437,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,5
2942,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
464,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,5
15998,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
9641,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,5
1205,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,5
3796,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
8835,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
2841,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,5
7304,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
13463,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
25,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
2972,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,5
1946,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,5
18003,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,5
16855,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,5
10626,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
2642,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,5
2235,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,5
2305,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
2204,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
4897,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,5
10988,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,5
13445,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,5
6614,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,5
2787,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,4
13271,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,4
5845,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
14815,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,4
2890,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,4
9262,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4
4234,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
4979,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,4
3882,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,4
4500,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
6711,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4
14667,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
7361,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,4
11084,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,4
670,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,4
10270,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,4
2007,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,4
6242,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
2594,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
