,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
3070,-593.61414,-19.924507,25.672785,1400.8506,0.02771118,0.0027920008,852.9321420941062,0.325716,0.9637464205127145,0.00039239274,4.514148e-05,4.535055e-05,0.017111594,0.00045742153,9.583309e-05,0.06124407865643612,0.007150244441947007,0.011845723,3.4924597e-10,3.5390258e-07
6667,-303.177,-17.475649,24.175665,1909.5304,0.042757675,0.0046544075,956.8471315671934,0.2934481,1.0736612205905074,0.00062366703,6.492506e-05,6.213033e-05,0.046358675,0.0016982727,0.00040636212,0.08516752645474539,0.010664607506117418,0.050501287,1.3969839e-09,9.797513e-07
5642,60.356323,-14.04677,24.134672,1267.7429,0.015063369,0.0013760328,1163.3437015182026,0.5137799,1.1846817753750634,0.0010151147,9.1592956e-05,6.594631e-05,0.02198401,0.000919303,0.00028559193,0.011430035785844854,0.001002239036154151,0.023885475,1.1641532e-09,-3.5762787e-07
14426,175.68707,-16.48452,22.579536,2048.0173,0.0834271,0.010399044,1008.4378279388604,0.33773687,1.0870956892379788,0.0430749,0.00902216,0.009962767,0.06894222,0.0013857035,0.00017116219,0.05083257435308348,0.005718838236209667,0.06525416,0.0,-2.0116568e-07
4667,942.2775,-16.037294,23.893373,1302.2948,0.33782446,0.06263685,1450.6443332785257,0.68550944,1.1448931941341525,0.105798215,0.02757537,0.03080327,0.34536052,0.013544205,0.0022150576,0.3078022132683584,0.05513018326330699,0.22727269,2.2351742e-08,6.556511e-07
1602,-304.56705,-20.457588,26.382431,1073.3253,0.037607193,0.0039981008,973.2988983838246,0.39300185,1.0827934054704436,0.0042827153,0.0009653649,0.0010344149,0.024532229,0.00075516547,0.00016309693,0.030194395862097566,0.0030874111062071385,0.026637968,4.656613e-10,4.377216e-07
5025,626.4582,-12.478706,22.952482,237.95294,0.53189725,0.12088424,1210.711005599302,0.64647526,1.1615249583614333,0.2288546,0.07401494,0.07154372,0.38948205,0.017851146,0.0031820238,0.16958345968469457,0.025174718660369022,0.2592856,0.0,-6.556511e-07
2275,-325.70242,-19.152618,25.59667,1958.7385,0.008423175,0.0007073879,1058.416808684046,0.42461723,1.2031399326737588,0.0015976114,0.00032602,0.00035713718,0.008480486,0.00027711154,7.8368e-05,0.008969120980449065,0.0007598278612882536,0.010133683,1.1641532e-10,2.5797635e-07
11923,321.70984,-15.84628,23.550045,1001.6684,0.062835306,0.007374525,1077.350677524135,0.3780957,1.1269569205043262,0.01768842,0.0036434357,0.0035164002,0.06345553,0.0023286592,0.00051974505,0.021885513016833398,0.0021201155877573763,0.08028838,4.656613e-09,1.0281801e-06
14251,-74.15055,-14.191078,22.972805,918.2053,0.08919984,0.011285543,1117.2504907840944,0.41917387,1.2005087752688632,0.04728663,0.008582617,0.007348709,0.115150526,0.00737515,0.0023047626,0.1943356553553272,0.0299887993881629,0.120809294,1.8626451e-09,-3.427267e-07
